OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
Oturma izni sahipleri için sağlık sigortası zorunlu mu?,"Başlangıç aşamasında, başvuru esnasında evet zorunludur. Kanunen her sene yenilenmesi gerkekse de bunu denetleyen bir mekanizma bulunmadığı için başvuru zamanında veya yenileme aşamasında sigorta yapmak gerekmektedir. Şirketimizin sigorta acenteliği özelliği bulunmaktadır. Bu konuda yardım isterseniz yardımcı olabiliriz. "
Banka hesabının ne zaman açacağız ,"Yunanistan’da banka hesabı açmak, Türk vatandaşları veya Avrupa Birliği dışından gelen kişiler için Türkiye’ye göre biraz daha zordur. Bankalar genellikle, mülk satın alınmadan önce hesap açmak isteyenlerden 10.000 – 20.000 € arasında bir tutarın yatırılmasını şart koşabiliyor. Bu nedenle böyle bir durumla karşılaşmamanız için biz, işlemleri mülk satın alındıktan sonra yapmanızı öneriyoruz. Ev alımı tamamlandıktan sonra, sanki yerel bir vatandaş gibi çok daha kolay şekilde banka hesabı açıyoruz.
İsterseniz, banka hesabı açmak için gerekli belgeleri size gönderebilirim."
Boşanma durumunda oturma izni süreci nasıl devam eder?,"Boşanma durumunda mülk kimin adına kayıtlıysa oturum izni o kişi için devam eder, diğer eşin oturum hakkı sona erer. Ortak mülkiyet varsa kimin mülkiyeti devraldığı belirleyici olur. Çocukların ise program kapsamında hakları devam eder. "
Parmak izi için anne ve babalar vizesi yok nasıl gelecekler ?,"Parmak izi işlemi, oturum izni sürecinin son aşamasıdır ve herkes için zorunludur. Anne ve baba da dahil olmak üzere, oturum izni alacak her bireyin biyometrik verilerinin alınması gerekiyor. Yani ebeveynler de randevu günü Yunanistan’da bulunup parmak izi veriyorlar. Bu işlem genellikle birkaç dakika sürüyor ve aynı gün içinde tamamlanıyor.
Ayrıca, parmak izi aşaması geçici oturum izni (blue certificate) alındıktan sonra gerçekleştiği için, anne ve babaların ayrıca vizeye sahip olma şartı bulunmuyor."
Ortak mülk satın alarak Golden Visa alınabilir mi?,"Yunanistan'da Golden Visa ortaklık yoluyla alınamaz; ortak mülk satın almak sadece eşlere tanınan bir haktır . İkamet izni başvurusunda bir kişi ana yatırımcı olarak belirlenir. Başvuru süreci de ana yatırımcı aracılığıyla gerçekleştirilir. Boşanma durumunda, ana yatırımcı ikamet iznini elinde tutar. Ancak, boşanma bildirilmezse, yenileme sırasında nüfus kaydı talep edilir. Boşanma ortaya çıktığında, yatırımcı olmayan eşin ikamet izni iptal edilir."
Banka hesabı açmak için gerekli belgeler nelerdir ?,"Banka hesabı açılışı içinGerekli Belgeler:

1. Vergi Levhası ve Kurumlar Vergi Beyannamesi

2. Resmi Gazete – Şirket Ana Sözleşmesi ve Hisse Dağıtımı (şirket ortağı olma durumunda) VEYA
3. Maaş Bordrosu ve SGK Hizmet Dökümü + Vergi Beyannamesi / Gelir Beyannamesi

4. E-Devlet üzerinden alınmış ikametgah belgesi

5. Cep Telefonu Faturası – Türkiye’deki hattınıza ait
Eğer hattınız şirket tarafından ödeniyorsa, şirket antetli kağıda yazılmış ve hattın size ait olduğunu belirten İngilizce bir yazı gereklidir.

6. Yunanistan GSM Hattı (Vodafone veya diğer operatörlerden alınacak. Bu işlem tarafımızla birlikte yapılacaktır.) 
VEYA
7. Yunanistan'daki size ait mülkün adınıza çıkmış elektrik veya su faturası

8. Türkiye’deki transfer yapılacak bankadan alınacak Referans Mektubu (İngilizce olmalı) 
(Finansal varlıkları belirten yazı örneği aşağıda bulunmaktadır.)

9. Hesap hareketleri (son 6 ay – 1 yıl) (tercümesi gerekli değil)
"
Yıllık Emlak Vergisi (ENFIA): ,"Mülkün konumuna ve değerine göre değişkenlik gösterir. Kosta bey'in verdiği bir örnekle cevap vermem gerekirse. Bu mülk kiralansaydı örneğin aylık 1.000 euro kira alsaydı, tüm sene boyunca ödeyeceğiniz emlak vergisi 500 euro olacaktır. "
Hangi semt daha iyi ,"Atina’da her semtin kendine göre avantajları ve dezavantajları var. Bazı bölgeler yatırım açısından daha cazipken, bazıları yaşam kalitesi veya uzun vadeli değer artışı açısından öne çıkıyor. Bu nedenle, hangi bölgenin sizin için daha uygun olduğuna ofisimize geldiğinizde, ihtiyaçlarınızı ve önceliklerinizi birlikte değerlendirerek karar vermemiz en doğru yaklaşım olur.”"
Miras süreci nasıl işler?,"Bir kişi vefat ettiğinde, gayrimenkulleri miras yoluyla devredilir. Vasiyetname varsa, mülk vasiyetnamenin şartlarına göre dağıtılır."
Adalardan mülk alınabiliyormu ?,"Evet, Yunanistan’da adalardan da ev alınabiliyor. Ancak burada önemli bir detay var: Türkiye’ye yakın olan adalarda (örneğin Midilli, Sakız, Sisam, İstanköy gibi) üçüncü ülke vatandaşlarının – yani AB dışından gelen kişilerin – mülk satın almasına izin verilmiyor.

Bunun dışında kalan adalarda mülk alımı serbesttir ve oturum izni için geçerlidir. Fakat yatırım tutarı adanın nüfusuna göre değişiyor: nüfusu 3.000 kişiden fazla olan adalarda minimum yatırım tutarı 800.000 Euro, nüfusu 3.000’den az olan adalarda ise 400.000 Euro olarak uygulanıyor.

Dolayısıyla adalardan mülk alarak oturum izni almak mümkündür; ancak hangi adanın programa uygun olduğu ve sizin hedeflerinize en uygun seçeneğin hangisi olacağına ofiste, ihtiyaçlarınızı değerlendirdikten sonra birlikte karar vermemiz en doğru yol olur"
Kıyıya yakın adalardan mülk alınabiliyormu?,"Türkiye’ye yakın Yunan adaları; Midilli (Lesvos), Sakız (Chios), Sisam (Samos), İkarya (Ikaria), Rodos (Rhodes), İstanköy (Kos), Leros, Kalymnos, Patmos, Kastellorizo (Meis), Symi, Tilos, Agathonisi, Psara ve Kasos’tur. Bu adalar Ege Denizi boyunca Türkiye kıyılarına paralel şekilde uzanır ve bazıları Türkiye’ye yalnızca birkaç kilometre mesafededir. Ancak bu adalarda üçüncü ülke vatandaşlarının, yani Avrupa Birliği üyesi olmayan kişilerin mülk satın alması mümkün değildir."
Yunanistan oturum izni ile hangi ülkelere gidilir?,"Yunanistan’ın Golden Visa programı kapsamında elde edilen oturma izni, Schengen Bölgesi’nde 180 günlük periyotta 90 güne kadar vizesiz seyahat etme imkanı tanır. Yunanistan oturumu ile vizesiz gidilen ülkeler; Almanya, Avusturya, Belçika, Çekya, Danimarka, Estonya, Finlandiya, Fransa, Hırvatistan, Hollanda, İspanya, İsveç, İsviçre, İtalya, İzlanda, Letonya, Lihtenştayn, Litvanya, Lüksemburg, Macaristan, Malta, Norveç, Polonya, Portekiz, Slovakya ve Slovenya."
istanbulda ofisiniz var mı ,var adres yazılacak irtibat numarası verilecek 
Yunanistan’da Türk Vatandaşlarının Mülk Edinme Kısıtlamaları Nelerdir? ,"Türk vatandaşlarının sınıra yakın adalarda mülk edinmesi yasaktır. Midilli (Lesvos), Sakız (Chios), Sisam (Samos), Rodos, İstanköy (Kos) gibi Türkiye kıyılarına yakın adalarda mülk edinmek mümkün değildir. Ancak diğer adalar (Girit, Santorini, Mikonos) için bu durum söz konusu değildir."
izmirde ofisiniz var mı ,"📢 Invest Greece artık İzmir’de!
Yunanistan’da yatırım yaparak oturum izni almak isteyen yatırımcılar için İzmir ofisimiz hizmete açıldı.

✅ Golden Visa ve Yunanistan oturum izni programı danışmanlığı
✅ Yatırıma uygun projeler ve güncel yatırım fırsatları
✅ Birebir danışmanlık ve süreç yönetimi desteği

Adresimiz:
Ankara Asfaltı Caddesi, Mistral Kule Kat: 6 Daire: 66 Bayraklı / İzmir

📞 Detaylı bilgi ve danışmanlık için: 0533 636 37 98"
Yunanistan'da boşanma durumunda oturma izni süreci nasıl devam eder?,"Boşanma durumunda mülk kimin adına kayıtlıysa oturum izni o kişi için devam eder, diğer eşin oturum hakkı sona erer. Ortak mülkiyet varsa kimin mülkiyeti devraldığı belirleyici olur. Çocukların ise program kapsamında hakları devam eder."
"Yunanistan Golden Visa bitti mi, devam ediyor mu?",Yunanistan Golden Visa 2025 itibariyle devam etmektedir. 
oturum izninde kişi sınırlaması var mı ,oturum izninde kişi sınırlaması yoktur 
Oturum izninden kimler faydalanabilir ?,"Yunanistan Golden Visa aile üyelerini de kapsar; partneriniz veya eşiniz, 21 yaşına kadar olan çocuklarınız ve her iki eşin ebeveynleri oturma izni alabilir. Aileniz de Yunanistan’da oturum izni alma ve Schengen bölgesinde vizesiz seyahat etme hakkına sahip olur."
iki kardeş ortak alabilir mi ,Yunanistan oturum izni kanunun ortak ev alımını sadece eşlere vermektedir. İki kardeş ortak ev alabilir ancak her biri minimum tutar karşılığında ev almalıdır. Örnek olarak bir karı koca 125.000 ve 125.000 mülk alarak 250.000 lik bir ev alabilir ancak iki kardeş 250 şer bin euro ödeyerek ortak bir ev alabilir. 
iki arkadaş ortak ev alabilir mi ,Yunanistan oturum izni kanunun ortak ev alımını sadece eşlere vermektedir. İki kardeş ortak ev alabilir ancak her biri minimum tutar karşılığında ev almalıdır. Örnek olarak bir karı koca 125.000 ve 125.000 mülk alarak 250.000 lik bir ev alabilir ancak iki arkadaş 250 şer bin euro ödeyerek ortak bir ev alabilir. 
Yunanistan Golden Visa çalışma izni verir mi?,Program oturma izni sağlasa da doğrudan Yunanistan’da çalışma izni vermez. Oturum izni ile başka birinin yanında çalışmazsınız. Oturum hakkına sahip olmanız çalışma izni sürecini kolaylaştırmaz. 
800.000 lik bant nasıl çalışır ? ,"€800.000: Atina, Selanik, Mikonos, Santorini ve nüfusu 3.100’den fazla olan adalarda mülk satın alımları için geçerlidir. Bu bölgelerde yatırım yapmak isteyenlerin en az 800.000 Euro değerinde, minimum 120 m² büyüklüğünde tek bir mülk satın alması gerekmektedir.  "
hafta sonu çalışıyor musunuz ?,"Ekibimizin bir kısmı hafta sonları da çalışmaktadır. Ancak yer gösterimi süreçlerinde mülk sahiplerinin çoğu hafta sonu müsait olamadığından, ev ziyaretleri genellikle hafta içi gerçekleştirilmektedir. Hafta sonu için ise yalnızca önceden planlama yapıldığında randevu oluşturulabilmektedir."
250.000 lik bant nasıl çalışır ? ,"€250.000: Ticari mülklerin konut kullanımına dönüştürülmesi veya tescilli binaların restorasyonu gibi özel projeler için geçerlidir. Bu tür yatırımlar, konum veya büyüklükten bağımsız olarak 250.000 Euro’luk asgari yatırım tutarıyla yapılabilir. Bu mülkler ortalama 600 Euro  700 Euro civarında kira geliri getirir."
gelirken yanımda ne getirmeliyim ,Gelirken yanınızda herhangi bir belge getirmeniz gerekmez. Sadece pasaportunuz yeterlidir. Pasaportunuzda mutlaka giriş damgası bulunmalıdır. Giriş damgası Yunanistan'a resmi ve kanuni bir giriş yaptığınızın kanıtıdır. 
Oturum izni için gayrimenkul ödemesi nasıl yapılır?,"Gayrimenkul ile ilgili tutar yurt dışından gelmelidir. Yunanistan'da kazanılan parayla oturma izni satın alamazsınız. Bu para yurt dışından elde edilmelidir. Türkiye'de banka hesabınız varsa, parayı buradaki hesabınıza aktarabilirsiniz. Gayrimenkulü satın aldığınız gün, satıcıya bloke çek verirsiniz. Şartlı satış sisteminde, taraflar satışın gerçekleştiği notere giderler. Satış sözleşmesine, satışın bugün gerçekleştiği ve paranın on iş günü içinde ödeneceği belirtilen bir madde eklenir. Ödeme yapıldıktan sonra, satıcı noterlikte ödeme makbuzunu verir ve işlem tamamlanır. Şartlı satış sistemi güvenlidir."
havaalanından alıyormusunuz ,Çalışma günleri ve mesai saatleri içinde havalimanından gelişinizi organize edebiliriz. Herhangi bir yanlışlık ve yanlış anlamayı önlemek için bize bir gün önce hatırlatmanız çok iyi olur . 
Mortgage kullanarak oturum izni alabilir miyim ?,Yatırım sürecinde Mortgage kullanılamaz; tüm alımların yatırımcının kendi öz kaynaklarıyla yapılması gerekmektedir.
ilk geldiğimde para ödemesi yapacak mıyım ,İlk gelişinizde herhangi bir ödeme yapmanıza gerek yoktur. Eğer Yunanistan'da noterden vekaletname çıkartmak isterseniz yaklaşık 150 euroluk bir masrafı karşılamak durumunda kalırsınız. 
Yunanistan Golden Visa kalıcı oturum iznine geçiş sağlar mı?,"Golden vize diye bir kanun terimi yoktur. Bu bir marketing terimi olarak başlamış ve süregelmiş bir terimdir. Kanundaki karşılığı yatırım yolu ile kalıcı, sınırsız oturum izni'dir. Beş yılda bir yenileme kartların yenileme tarihleri için söylenmektedir. "
öğle tatili yapıyor musunuz ,Öğle tatili yapmıyoruz . Cumartesi pazar günü çalışmıyoruz . Çok ekstrim durumlarda Cumartesi ev gösterimi ve ofisimizde toplantı gerçekleştirebiliriz. 
250.000 lik oturum izninde metre kare şartı var mı ? ,Yok. 250.000 lik bantta herhangi bir metrekare alt ve üst limiti yoktur. 
Yunanistan oturum izni nedir?,"Yunanistan oturum izni, mülk sahibi ve ailesine Avrupa’da süresiz yaşam hakkı tanır.
Oturum izni kartları her 5 yılda bir yenilenir, ancak mülkiyet sürdüğü sürece izin daimi niteliktedir.
Bölgeye göre 250.000 €, 400.000 € veya 800.000 € tutarındaki yatırım seçenekleriyle Yunanistan, Avrupa’daki en avantajlı oturum programlarından biri olmaya devam etmektedir."
120 metrekare kısıtı hangi oturum izni tipinde geçerli ?,800.000 ile 400.000 euro ile oturum izni alınan yerlerde geçerlidir . 
Yunanistan oturum izni hangi hakları sağlar?,"🔹 1. Yunanistan’da yasal ikamet hakkı

Oturum izni sahipleri, Yunanistan’da sürekli ve yasal olarak ikamet etme hakkına sahiptir.
Bu izin, hem ana başvuru sahibine hem de ailesine (eş, 21 yaş altı çocuklar, ebeveynler) tanınır.

🔹 2. Schengen bölgesinde serbest dolaşım

Yunanistan, Schengen bölgesine dâhildir.
Bu sayede oturum izni sahipleri, 90 gün süreyle diğer Schengen ülkelerine vizesiz seyahat edebilirler.
Bu hak; Fransa, Almanya, İspanya, Hollanda, İtalya, İsviçre gibi 25’ten fazla Avrupa ülkesini kapsar.

🔹 3. Aile bireyleriyle birlikte oturum hakkı

Yatırımcı ile birlikte:

Eşi,

21 yaş altı çocukları,

Her iki tarafın ebeveynleri
de oturum izninden yararlanabilir.
Aile bireyleri de kendi adlarına oturum kartı alır ve aynı haklara sahip olurlar.

🔹 4. Sağlık, eğitim ve sosyal hizmetlerden yararlanma

Oturum izni sahipleri, Yunanistan’da devlet hastanelerinden, eğitim kurumlarından ve sosyal hizmetlerden faydalanabilirler.
Çocuklar ücretsiz devlet okullarına kayıt yaptırabilir, aile bireyleri kamu sağlık hizmetlerinden yararlanabilir.

🔹 5. Mülk sahibi olma ve kiraya verme hakkı

Oturum izni sahibi, satın aldığı mülk üzerinde tam mülkiyet hakkına sahiptir.
Bu mülkü kiraya verebilir, gelir elde edebilir veya dilediğinde satabilir.
Mülk elden çıkarılmadığı sürece oturum izni geçerliliğini korur.

🔹 6. Yenileme ve süresiz ikamet imkânı

Oturum izni 5 yıl süreyle verilir,

Mülk sahipliği sürdüğü sürece süresiz olarak yenilenebilir.
Bu durum, fiilen daimi ikamet hakkı anlamına gelir.

🔹 7. Uzun vadede vatandaşlık başvurusu imkânı

Yunanistan’da uzun yıllar yaşayan ve belirli şartları karşılayan kişiler, ilerleyen süreçte Yunan vatandaşlığına başvurma hakkına sahip olabilir.
Bu, AB vatandaşlığı anlamına geldiği için Avrupa genelinde yaşam, eğitim ve çalışma serbestliği sağlar.

🔹 8. Vergisel avantajlar ve yatırım özgürlüğü

Yunanistan’da yatırım yoluyla oturum alan kişiler, mülklerini kendi adlarına tutabildikleri gibi, ilerleyen dönemde yeni yatırım veya ek gayrimenkul alımı da yapabilirler.
Vergisel yükümlülükler, mülk gelirine göre şekillenir ve profesyonel danışmanlıkla optimize edilebilir."
Yunanistan Golden Visa vatandaşlık hakkı sağlar mı?,Yunanistan yatırım yoluyla vatandaşlık doğrudan elde edilmez. Ancak 7 yıl Yunanistan’da oturmanız halinde vatandaşlık başvurusu yapmaya hak kazanırsınız. 
Oturum izni ile Schengen ülkelerinde serbest dolaşım hakkı var mı?,evet tüm schengen ülkelerinde serbest dolaşım hakkınız olur 
Yunanistan Golden Visa bölgeleri nelerdir?,Türkiyeye yakın adalar ve sınırlara yakın adalar dışındaki her yer oturum izni için uygundur. 
Oturum izni çalışma hakkı verir mi?,Yunanistan yatırım yolu ile oturum izni ile bir başkasının yanında çalışmazsınız.
Oturum izni alırsam oy verebilir miyim ? ,Oturum izni alırsanız oy veremezsiniz. 
Oturum izni süresi ne kadardır ve nasıl uzatılır?,"Oturum iznini hakkını elde ettiğinizde,  Yunanistanda sınırsız yaşam hakkınız başlar. Her beş yılda bir kartlarınız yenilenir,  Mülkünüzü satmadığınız müddetçe sınırsız oturuma sahipsiniz."
Oturum izni süresince Yunanistan’da ne kadar süre bulunmak gerekir?,Oturum izni süresince herhangi bir kalma şartı bulunmamaktadır. İsterseniz tüm sene isterseniz hiç Yunanistanda kalmayabilirsiniz. 
Oturum izni ile vatandaşlık alınabilir mi?,Oturum izni ve vatandaşlık farklı hususlardır. Vatandaşlık almak istemeniz durumunda bazı şartların gerçekleşmesi gerekir .
Yunanistan oturum izni iptal olur mu?,Evet oturum iznine bağlı mülkünüzü satarsanız ve kriminal bir suç işlerseniz oturum izniniz iptal olur . 
Daha düşük değer göstererek oturum izni alabilir miyim ? ,Kanunen bu mümkün değil ancak bu konuyu bay Kosta ile konuşursanız size daha detaylı bilgi verecektir. Şirket politikamız gereği bu takım narin konuları sadece bay Kosta ile konuşmanızı öneririm. 
Yunanistan’daki Evler Eski mi?,"Yunanistan’daki evlerin çoğu eski olsa da, oturma izni için satın alınan evler yenilenmektedir. "
Yunanistan’da Tapu Sistemi Var mı? ,Yunanistan'da Türkiyedeki gibi bir tapu sistemi yoktur. Noter huzurunda yapılan resmi satış sözleşmesi ile mülk alımı gerçekleşir. Bu sözleşmede mülkün sicil numarası (KAEK) yer alır. Ayrıntılı bir sözleşmedir; mülkün tüm teknik ve hukuki bilgilerini içerir. Kosta bey mülk alımı güvenliği konusunda buradaki işlemin daha güvenli olduğunu söyler hep. 
Yunanistan Golden Visa için asgari yatırım tutarı nedir?,"Yeni oturum izni kanunlarına göre 800, 400 ve 250 bin Euro'luk asgari yatırım düzeyleri bulunmaktadır. "
"Yunanistan vatandaşı olmak için ne kadarlık ev almalıyım?
",Ev alarak Yunan vatandaşlığı alamazsınız. Vatandaşlık ve oturum izni farklı şeylerdir.. Ev alarak oturum izni alabilirsiniz ve eğer sürekli bir şekilde Yunanistan'da kalıp bazı diğer şartları gerçekleştirirseniz vatandaşlık başvurusuna hak kazanırsınız. 
Hangi bölgelerde yatırım yapabilirim?,Yunanistan sınırlarına yakın yerler dışında Yunanistan'daki her bölgeden şehirden ve semtten ev alabilirsiniz. 
Yunan Vatandaşlığı Alma,"Yunanistan Golden Visa programı, yatırım yoluyla vatandaşlık programı değildir. Ancak, bir dizi kriteri karşılamanız koşuluyla, yedi yılın sonunda Yunanistan’da vatandaşlığa kabul başvurusunda bulunmaya uygun olabilirsiniz. Yunan vatandaşlığına başvurmak için gereken şartlar aşağıdadır:
Gerekenler: Yunanistan’da en az yedi yıl tam zamanlı yaşamak Bu dönemde Yunanistan’da vergi mükellefi olmak
Yunan Dil Sınavına girip başarılı olmak Yunanistan ve Yunan kültürüne yeterli bağlarınızın olduğunun kanıtlanması"
